"","treatment","group_id","group_estim","true_prob"
"310","delphi","aqk02owt",0.7675,0.7
"311","delphi","myrrmp37",0.38,0.1
"312","delphi","myrrmp37",0.2,0.2
"313","delphi","myrrmp37",0.3625,0.55
"314","delphi","myrrmp37",0.775,0.7
"315","delphi","myrrmp37",0.4,0.45
"316","delphi","myrrmp37",0.62,0.9
"317","delphi","myrrmp37",0.5375,0.3
"318","delphi","myrrmp37",0.775,0.8
"319","delphi","myrrmp37",0.3125,0.4
"320","delphi","myrrmp37",0.62,0.6
"321","delphi","v94yqmjr",0.775,0.7
"322","delphi","v94yqmjr",0.4625,0.1
"323","delphi","v94yqmjr",0.5375,0.55
"324","delphi","v94yqmjr",0.5125,0.45
"325","delphi","v94yqmjr",0.2875,0.2
"326","delphi","v94yqmjr",0.5,0.4
"327","delphi","v94yqmjr",0.66,0.8
"328","delphi","v94yqmjr",0.5675,0.9
"329","delphi","v94yqmjr",0.4625,0.3
"330","delphi","v94yqmjr",0.5625,0.6
"331","delphi","ob862a2b",0.155,0.2
"332","delphi","ob862a2b",0.485,0.55
"333","delphi","ob862a2b",0.275,0.4
"334","delphi","ob862a2b",0.335,0.45
"335","delphi","ob862a2b",0.35,0.1
"336","delphi","ob862a2b",0.74,0.8
"337","delphi","ob862a2b",0.5875,0.9
"338","delphi","ob862a2b",0.69,0.7
"339","delphi","ob862a2b",0.52,0.6
"340","delphi","ob862a2b",0.53,0.3
"341","delphi","1t5m1g3x",0.6875,0.9
"342","delphi","1t5m1g3x",0.3625,0.2
"343","delphi","1t5m1g3x",0.6125,0.55
"344","delphi","1t5m1g3x",0.755,0.7
"345","delphi","1t5m1g3x",0.5825,0.3
"346","delphi","1t5m1g3x",0.5,0.4
"347","delphi","1t5m1g3x",0.7375,0.8
"348","delphi","1t5m1g3x",0.58,0.6
"349","delphi","1t5m1g3x",0.5325,0.45
"350","delphi","1t5m1g3x",0.4725,0.1
"351","delphi","zvtdvts4",0.7725,0.8
"352","delphi","zvtdvts4",0.4575,0.6
"353","delphi","zvtdvts4",0.6125,0.9
"354","delphi","zvtdvts4",0.0325,0.2
"355","delphi","zvtdvts4",0.4275,0.45
"356","delphi","zvtdvts4",0.29,0.1
"357","delphi","zvtdvts4",0.505,0.55
"358","delphi","zvtdvts4",0.545,0.3
"359","delphi","zvtdvts4",0.3775,0.4
"360","delphi","zvtdvts4",0.855,0.7
"361","delphi","cs14shw8",0.2375,0.2
"362","delphi","cs14shw8",0.3675,0.1
"363","delphi","cs14shw8",0.459375,0.45
"364","delphi","cs14shw8",0.5375,0.9
"365","delphi","cs14shw8",0.405,0.55
"366","delphi","cs14shw8",0.7925,0.7
"367","delphi","cs14shw8",0.355,0.4
"368","delphi","cs14shw8",0.5125,0.6
"369","delphi","cs14shw8",0.875,0.8
"370","delphi","cs14shw8",0.55,0.3
"371","delphi","dx72p654",0.5125,0.9
"372","delphi","dx72p654",0.5275,0.6
"373","delphi","dx72p654",0.6675,0.8
"374","delphi","dx72p654",0.2825,0.2
"375","delphi","dx72p654",0.5375,0.3
"376","delphi","dx72p654",0.46,0.45
"377","delphi","dx72p654",0.87,0.7
"378","delphi","dx72p654",0.5475,0.55
"379","delphi","dx72p654",0.375,0.4
"380","delphi","dx72p654",0.3425,0.1
"381","delphi","8v998nv2",0.5375,0.6
"382","delphi","8v998nv2",0.745,0.8
"383","delphi","8v998nv2",0.455,0.4
"384","delphi","8v998nv2",0.45,0.55
"385","delphi","8v998nv2",0.6125,0.9
"386","delphi","8v998nv2",0.5,0.45
"387","delphi","8v998nv2",0.64,0.7
"388","delphi","8v998nv2",0.25,0.2
"389","delphi","8v998nv2",0.4875,0.3
"390","delphi","8v998nv2",0.4,0.1
"391","delphi_ha","0zhk9p2i",0.4125,0.2
"392","delphi_ha","0zhk9p2i",0.4875,0.7
"393","delphi_ha","0zhk9p2i",0.25,0.45
"394","delphi_ha","0zhk9p2i",0.1,0.1
"395","delphi_ha","0zhk9p2i",0.65,0.3
"396","delphi_ha","0zhk9p2i",0.275,0.6
"397","delphi_ha","0zhk9p2i",0.2625,0.4
"398","delphi_ha","0zhk9p2i",0.625,0.9
"399","delphi_ha","0zhk9p2i",0.45,0.8
"400","delphi_ha","0zhk9p2i",0.3375,0.55
"401","delphi_ha","cn47q3x9",0.775,0.3
"402","delphi_ha","cn47q3x9",0.2625,0.1
"403","delphi_ha","cn47q3x9",0.5625,0.8
"404","delphi_ha","cn47q3x9",0.8625,0.9
"405","delphi_ha","cn47q3x9",0.4125,0.7
"406","delphi_ha","cn47q3x9",0.25,0.55
"407","delphi_ha","cn47q3x9",0.2375,0.4
"408","delphi_ha","cn47q3x9",0.375,0.6
"409","delphi_ha","cn47q3x9",0.2875,0.45
"410","delphi_ha","cn47q3x9",0.375,0.2
"411","delphi_ha","h8ljnlvd",0.2375,0.55
"412","delphi_ha","h8ljnlvd",0.8575,0.9
"413","delphi_ha","h8ljnlvd",0.5075,0.8
"414","delphi_ha","h8ljnlvd",0.8475,0.3
"415","delphi_ha","h8ljnlvd",0.4625,0.6
"416","delphi_ha","h8ljnlvd",0.15,0.1
"417","delphi_ha","h8ljnlvd",0.1125,0.45
"418","delphi_ha","h8ljnlvd",0.425,0.2
"419","delphi_ha","h8ljnlvd",0.275,0.7
"420","delphi_ha","h8ljnlvd",0.15,0.4
"421","delphi_ha","9imweqo4",0.6875,0.3
"422","delphi_ha","9imweqo4",0.525,0.7
"423","delphi_ha","9imweqo4",0.3,0.55
"424","delphi_ha","9imweqo4",0.3575,0.2
"425","delphi_ha","9imweqo4",0.275,0.1
"426","delphi_ha","9imweqo4",0.82,0.9
"427","delphi_ha","9imweqo4",0.325,0.4
"428","delphi_ha","9imweqo4",0.61,0.8
"429","delphi_ha","9imweqo4",0.4,0.45
"430","delphi_ha","9imweqo4",0.5125,0.6
"431","delphi_ha","gaopawk0",0.6375,0.3
"432","delphi_ha","gaopawk0",0.1625,0.1
"433","delphi_ha","gaopawk0",0.45,0.7
"434","delphi_ha","gaopawk0",0.65,0.8
"435","delphi_ha","gaopawk0",0.725,0.9
"436","delphi_ha","gaopawk0",0.3625,0.4
"437","delphi_ha","gaopawk0",0.3,0.6
"438","delphi_ha","gaopawk0",0.2,0.2
"439","delphi_ha","gaopawk0",0.425,0.55
"440","delphi_ha","gaopawk0",0.375,0.45
"441","delphi_ha","hybiz0k8",0.5625,0.8
"442","delphi_ha","hybiz0k8",0.4875,0.2
