"","treatment","group_id","group_estim","true_prob"
"487","delphi_ha","9imweqo4",0.325,0.4
"488","delphi_ha","9imweqo4",0.61,0.8
"489","delphi_ha","9imweqo4",0.4,0.45
"490","delphi_ha","9imweqo4",0.5125,0.6
"491","delphi_ha","gaopawk0",0.6375,0.3
"492","delphi_ha","gaopawk0",0.1625,0.1
"493","delphi_ha","gaopawk0",0.45,0.7
"494","delphi_ha","gaopawk0",0.65,0.8
"495","delphi_ha","gaopawk0",0.725,0.9
"496","delphi_ha","gaopawk0",0.3625,0.4
"497","delphi_ha","gaopawk0",0.3,0.6
"498","delphi_ha","gaopawk0",0.2,0.2
"499","delphi_ha","gaopawk0",0.425,0.55
"500","delphi_ha","gaopawk0",0.375,0.45
"501","delphi_ha","hybiz0k8",0.5625,0.8
"502","delphi_ha","hybiz0k8",0.4875,0.2
"503","delphi_ha","hybiz0k8",0.35,0.1
"504","delphi_ha","hybiz0k8",0.625,0.7
"505","delphi_ha","hybiz0k8",0.7875,0.3
"506","delphi_ha","hybiz0k8",0.8,0.9
"507","delphi_ha","hybiz0k8",0.2625,0.4
"508","delphi_ha","hybiz0k8",0.35,0.6
"509","delphi_ha","hybiz0k8",0.43125,0.55
"510","delphi_ha","hybiz0k8",0.35,0.45
"511","delphi_ha","4jdrkkcs",0.7375,0.9
"512","delphi_ha","4jdrkkcs",0.8125,0.3
"513","delphi_ha","4jdrkkcs",0.2,0.45
"514","delphi_ha","4jdrkkcs",0.1625,0.55
"515","delphi_ha","4jdrkkcs",0.3125,0.6
"516","delphi_ha","4jdrkkcs",0.4625,0.7
"517","delphi_ha","4jdrkkcs",0.6375,0.2
"518","delphi_ha","4jdrkkcs",0.325,0.8
"519","delphi_ha","4jdrkkcs",0.3,0.4
"520","delphi_ha","4jdrkkcs",0.2125,0.1
"521","delphi_ha","84xbzevl",0.625,0.3
"522","delphi_ha","84xbzevl",0.35,0.1
"523","delphi_ha","84xbzevl",0.4275,0.45
"524","delphi_ha","84xbzevl",0.6625,0.9
"525","delphi_ha","84xbzevl",0.3875,0.4
"526","delphi_ha","84xbzevl",0.6375,0.7
"527","delphi_ha","84xbzevl",0.3625,0.2
"528","delphi_ha","84xbzevl",0.65,0.8
"529","delphi_ha","84xbzevl",0.4,0.55
"530","delphi_ha","84xbzevl",0.4375,0.6
"531","delphi_ha","ym2901qn",0.7875,0.9
"532","delphi_ha","ym2901qn",0.375,0.1
"533","delphi_ha","ym2901qn",0.4125,0.55
"534","delphi_ha","ym2901qn",0.4375,0.8
"535","delphi_ha","ym2901qn",0.6375,0.2
"536","delphi_ha","ym2901qn",0.3125,0.45
"537","delphi_ha","ym2901qn",0.48,0.7
"538","delphi_ha","ym2901qn",0.7375,0.3
"539","delphi_ha","ym2901qn",0.3,0.4
"540","delphi_ha","ym2901qn",0.3375,0.6
"541","delphi_ha","tkwsxqh2",0.2725,0.6
"542","delphi_ha","tkwsxqh2",0.2875,0.8
"543","delphi_ha","tkwsxqh2",0.3,0.4
"544","delphi_ha","tkwsxqh2",0.7625,0.9
"545","delphi_ha","tkwsxqh2",0.2875,0.55
"546","delphi_ha","tkwsxqh2",0.7375,0.2
"547","delphi_ha","tkwsxqh2",0.225,0.45
"548","delphi_ha","tkwsxqh2",0.175,0.1
"549","delphi_ha","tkwsxqh2",0.275,0.7
"550","delphi_ha","tkwsxqh2",0.7375,0.3
"551","delphi_ha","zaubt6yj",0.575,0.9
"552","delphi_ha","zaubt6yj",0.225,0.1
"553","delphi_ha","zaubt6yj",0.325,0.45
"554","delphi_ha","zaubt6yj",0.3625,0.55
"555","delphi_ha","zaubt6yj",0.4875,0.2
"556","delphi_ha","zaubt6yj",0.3,0.7
